"id","date","price","bedrooms","bathrooms","sqft_lot","sqft_living","lat","long"
"36775","20141013T000000","12.87","1","1","45","45","-70.6447","-33.4377"
"36776","20141013T000000","12.87","1","1","36","36","-70.64702","-33.43825"
"36777","20141013T000000","12.87","2","1","45","45","-70.6479","-33.4371"
"36778","20141013T000000","12.87","1","1","40","45","-70.6537","-33.43614"
"36779","20141013T000000","12.87","1","1","80","80","-70.65598","-33.44181"
"36780","20141013T000000","12.87","1","1","36","38","-70.64405","-33.43615"
"36781","20141013T000000","12.87","2","1","36","36","-70.64786","-33.43706"
"36782","20141013T000000","12.87","1","1","36","36","-70.64726","-33.43836"
"36786","20141013T000000","12.87","1","1","56","56","-70.65753","-33.43682"
"36792","20141013T000000","12.9","1","1","33","40","-70.65853","-33.43913"
"36795","20141013T000000","13.16","2","1","45","45","-70.6601","-33.43341"
"36796","20141013T000000","13.23","2","2","43","51","-70.65835","-33.43573"
"36798","20141013T000000","13.24","1","1","30","32","-70.64498","-33.43798"
"36799","20141013T000000","13.24","1","1","55","55","-70.65718","-33.43685"
"36801","20141013T000000","13.24","2","1","40","42","-70.65871","-33.43358"
"36806","20141013T000000","13.28","2","1","59","59","-70.6575","-33.44382"
"36783","20141013T000000","12.87","1","1","48","48","-70.64788","-33.43468"
"36784","20141013T000000","12.87","2","1","55","55","-70.64697","-33.43787"
"36785","20141013T000000","12.87","2","1","51","53","-70.6593","-33.4421"
"36787","20141013T000000","12.87","1","1","31","35","-70.645","-33.438"
"36788","20141013T000000","12.87","2","1","46","50","-70.65934","-33.43839"
"36789","20141013T000000","12.87","1","1","30","30","-70.64405","-33.43615"
"36790","20141013T000000","12.89","1","1","36","36","-70.64726","-33.43836"
"36791","20141013T000000","12.9","1","1","37","37","-70.65657","-33.44021"
"36793","20141013T000000","12.91","2","2","44","44","-70.6601","-33.43341"
"36794","20141013T000000","13.05","2","2","65","65","-70.64356","-33.42584"
"36797","20141013T000000","13.23","1","1","41","41","-70.6468","-33.4412"
"36800","20141013T000000","13.24","1","1","37","40","-70.65418","-33.43621"
"36802","20141013T000000","13.24","2","2","60","60","-70.65714","-33.43659"
"36803","20141013T000000","13.24","1","1","33","34","-70.64498","-33.43798"
"36804","20141013T000000","13.24","1","1","32","32","-70.65378","-33.43327"
"36805","20141013T000000","13.26","1","1","37","40","-70.65434","-33.43685"
"36807","20141013T000000","13.42","1","1","45","45","-70.64786","-33.43706"
"36808","20141013T000000","13.51","1","1","40","44","-70.64483","-33.43897"
"36809","20141013T000000","13.6","2","2","60","60","-70.6544","-33.4354"
"36810","20141013T000000","13.6","1","1","55","55","-70.65718","-33.43685"
"36811","20141013T000000","13.6","1","1","35","41","-70.65657","-33.44021"
"36812","20141013T000000","13.61","1","1","35","37","-70.6456","-33.43792"
"36813","20141013T000000","13.61","1","1","38","40","-70.65657","-33.44021"
"36814","20141013T000000","13.69","2","2","70","74","-70.65928","-33.43582"
"36815","20141013T000000","13.97","1","1","38","41","-70.64678","-33.43295"
"36816","20141013T000000","13.97","1","1","37","37","-70.65868","-33.43407"
"36817","20141013T000000","13.97","1","1","80","80","-70.65598","-33.44181"
"36818","20141013T000000","13.97","1","1","44","49","-70.65718","-33.43685"
"36820","20141013T000000","13.97","1","1","44","49","-70.65718","-33.43685"
"36821","20141013T000000","13.97","1","1","38","41","-70.65919","-33.44267"
"36822","20141013T000000","13.98","2","1","43","100","-70.65754","-33.43686"
"36823","20141013T000000","13.98","2","2","43","44","-70.65893","-33.43608"
"36824","20141013T000000","13.98","2","1","60","62","-70.6552","-33.433"
"36826","20141013T000000","14.01","2","1","60","64","-70.65791","-33.44254"
"36829","20141013T000000","14.33","2","2","65","68","-70.65866","-33.43537"
"36830","20141013T000000","14.34","1","1","45","45","-70.64563","-33.43795"
"36832","20141013T000000","14.36","1","1","45","46","-70.6456","-33.4374"
"36834","20141013T000000","14.52","2","1","57","57","-70.6469","-33.4394"
"36836","20141013T000000","14.55","2","2","50","59","-70.657","-33.43542"
"36838","20141013T000000","14.7","1","1","45","49","-70.64483","-33.43897"
"36839","20141013T000000","14.7","1","1","50","55","-70.65582","-33.43793"
"36840","20141013T000000","14.7","1","1","50","52","-70.64579","-33.43693"
"36846","20141013T000000","14.7","2","2","52","54","-70.65667","-33.43552"
"36848","20141013T000000","14.71","2","1","55","55","-70.64413","-33.43709"
"36849","20141013T000000","14.71","2","2","52","54","-70.65667","-33.43552"
"36851","20141013T000000","14.71","2","2","57","60","-70.64353","-33.42601"
"36852","20141013T000000","14.71","2","2","55","59","-70.65649","-33.44014"
"36853","20141013T000000","14.71","1","1","45","49","-70.64483","-33.43897"
"36855","20141013T000000","14.75","2","1","50","50","-70.657","-33.44151"
